Unnamed: 0,R$/litro,US$/litro,Var./semana
09 - 13/03/2026,29439,5651,"0,30%"
02 - 06/03/2026,29352,5603,"3,13%"
23 - 27/02/2026,28462,5531,"-3,33%"
16 - 20/02/2026,29442,5644,"-2,52%"
09 - 13/02/2026,30203,5808,"-0,96%"
02 - 06/02/2026,30496,5813,"-1,26%"
26 - 30/01/2026,30885,5906,"0,05%"
19 - 23/01/2026,30871,5796,"0,52%"
12 - 16/01/2026,30711,5712,"1,60%"
05 - 09/01/2026,30228,5613,"2,26%"
29 - 02/01/2026,29561,5378,"0,90%"
22 - 26/12/2025,29296,5274,"0,41%"
15 - 19/12/2025,29177,5313,"0,29%"
08 - 12/12/2025,29092,5357,"0,83%"
01 - 05/12/2025,28853,5389,"0,70%"
